code,description,classification
XM1UK4,Selsun,not a valid entry
XM1W96,Thioglycolate,not a valid entry
XM7GY2,Tioxolone,not a valid entry
XM4ZP4,Triacetoxyanthracene,not a valid entry
XM4RP3,Trioxysalen,not a valid entry
XM25J6,Xenysalate,not a valid entry
XM6H69,Methyl salicylate,not a valid entry
XM8C67,Achromycin ophthalmic preparation,not a valid entry
XM75W8,Adrenal ophthalmic preparation,not a valid entry
XM9108,Aerosporin ophthalmic preparation,not a valid entry
XM6H73,Ammonium acid tartrate,not a valid entry
XM80F0,Anti-infective eye,not a valid entry
XM6G79,Anti-infective ophthalmic preparation,not a valid entry
XM8VQ1,Antibiotic eye,not a valid entry
XM5568,Anticholinesterase reversible ophthalmological,not a valid entry
XM00J7,Antiviral drug eye,not a valid entry
XM4ND7,Argyrol ophthalmic preparation,not a valid entry
XM92J6,Aristocort ophthalmic preparation,not a valid entry
XM9K95,Aureomycin ophthalmic preparation,not a valid entry
XM91E2,Bacimycin ophthalmic preparation,not a valid entry
XM1466,Bacitracin zinc ophthalmic preparation,not a valid entry
XM96V6,Benzalkonium ophthalmic preparation,not a valid entry
XM2652,Boric acid ophthalmic preparation,not a valid entry
XM2JH6,Chloramphenicol ophthalmic preparation,not a valid entry
XM32H1,Chymotrypsin ophthalmic preparation,not a valid entry
XM6E41,Colistin sulfate (eye preparation),not a valid entry
XM1WZ1,Contact lens solution,not a valid entry
XM3X79,Copper sulfate cupric medicinal eye,not a valid entry
XM8CX6,Copper sulfate medicinal eye,not a valid entry
XM3EL8,Cort-Dome ophthalmic preparation,not a valid entry
XM79E5,Cortef ophthalmic preparation,not a valid entry
XM2K04,Corticosteroid ophthalmic,not a valid entry
XM1TH1,Cortisone ophthalmic preparation,not a valid entry
XM3918,Cycloplegic drug,not a valid entry
XM2BH0,Decadron ophthalmic preparation,not a valid entry
XM8S71,Demecarium (bromide),not a valid entry
XM5TF3,Dexamethasone ophthalmic preparation,not a valid entry
XM17P1,Echothiophate echothiopate ecothiopate,not a valid entry
XM7K14,Ecothiopate iodide,not a valid entry
XM8TN8,Erythromycin ophthalmic preparation,not a valid entry
XM6DB2,External medications ophthalmic preparation,not a valid entry
XM7SR0,Eye agents (anti-infective),not a valid entry
XM8XW9,Eye drug,not a valid entry
XM5FG3,Fludrocortisone ophthalmic preparation,not a valid entry
XM1321,Fluohydrocortisone ophthalmic preparation,not a valid entry
XM1CL1,Fluorometholone ophthalmic preparation,not a valid entry
XM99L2,Garamycin ophthalmic preparation,not a valid entry
XM9F58,Hydrocortisone ophthalmic preparation,not a valid entry
XM6JB0,Ilotycin ophthalmic preparation,not a valid entry
XM8X71,Irrigating fluid eye,not a valid entry
XM69D8,Lubricant eye,not a valid entry
XM3J80,Merthiolate ophthalmic preparation,not a valid entry
XM3XJ5,Methyl prednisolone ophthalmic preparation,not a valid entry
XM4QZ9,Methylparaben (ophthalmic),not a valid entry
XM2JE0,Miotic drug,not a valid entry
XM4DY8,Mycitracin ophthalmic preparation,not a valid entry
XM5PU9,Mydriatic drug,not a valid entry
XM8NH0,Neomycin ophthalmic preparation,not a valid entry
XM28C3,Neosporin opthalmic preparation,not a valid entry
XM3HK9,Orthoboric acid ophthalmic preparation,not a valid entry
XM3KD5,Oxylone ophthalmic preparation,not a valid entry
XM7NN8,Polymyxin B ophthalmic preparation,not a valid entry
XM9N59,Polymyxin E sulfate (eye preparation),not a valid entry
XM1YK9,Prednisolone ophthalmic preparation,not a valid entry
XM2WK3,Propylparaben (ophthalmic),not a valid entry
XM2U36,Silver nitrate ophthalmic preparation,not a valid entry
XM56H1,Silver protein,not a valid entry
XM7AV0,Sodium borate cleanser eye,not a valid entry
XM9NR0,Steroid ophthalmic preparation,not a valid entry
XM8MA1,Sulfacetamide ophthalmic preparation,not a valid entry
XM8A14,Sulfisoxazole ophthalmic preparation,not a valid entry
XM9PG5,Sulfonamide eye,not a valid entry
XM61C9,Tear solution,not a valid entry
XM2QJ9,Tetracycline ophthalmic preparation,not a valid entry
XM1J95,Thimerosal ophthalmic preparation,not a valid entry
XM83D9,Topical action drug eye,not a valid entry
XM9JS8,Triamcinolone ophthalmic preparation,not a valid entry
XM7HW9,Tyrothricin ophthalmic preparation,not a valid entry
XM9GF6,Zephiran ophthalmic preparation,not a valid entry
XM2WP9,Zinc sulfate ophthalmic solution,not a valid entry
XM68Z2,Zinc sulfate,not a valid entry
XM5T83,Befunolol,not a valid entry
XM6NB7,Bibrocathol,not a valid entry
XM52Q9,Chloroptic,not a valid entry
XM1X30,Dendrid,not a valid entry
XM0L12,Dipivefrine,not a valid entry
XM09W6,Edoxudine,not a valid entry
XM07Y5,Eserine,not a valid entry
XM8PJ6,Eucatropine,not a valid entry
XM45L3,Fluorphenylalanine,not a valid entry
XM1783,Herplex,not a valid entry
XM9EN3,Hydroxyamphetamine,not a valid entry
XM9E72,Hypromellose,not a valid entry
XM0PE3,Lachesine,not a valid entry
XM8098,Levobunolol,not a valid entry
XM0YH4,Metipranolol,not a valid entry
XM4PY4,Phospholine,not a valid entry
XM4605,Physostigmine,not a valid entry
XM6Q18,Stoxil,not a valid entry
XM5RC2,Tetrahydrozoline,not a valid entry
XM4LG2,Tetryzoline,not a valid entry
XM31C8,Visine,not a valid entry
XM3824,Dental drug topical application,not a valid entry
XM1JW3,Dressing live pulp,not a valid entry
XM0PR1,Eucalyptus oil,not a valid entry
XM8FK0,External medications dental agent,not a valid entry
XM3XP7,Oil cloves,not a valid entry
XM8PE1,Pulp devitalizing paste,not a valid entry
XM2JX5,Pulp dressing,not a valid entry
XM3YZ7,Dentifrice,not a valid entry
XM53X2,Achromycin topical,not a valid entry
XM2FL0,Acriflavinium chloride,not a valid entry
XM8K50,Acrinol,not a valid entry
XM5PD0,Acrisorcin,not a valid entry
XM7696,Adrenal topical,not a valid entry
XM9B70,Aerosporin topical,not a valid entry
XM3J51,Akrinol,not a valid entry
XM2ET5,Alclometasone,not a valid entry
XM3NX2,Alkonium (bromide),not a valid entry
XM7TF6,Allethrin,not a valid entry
XM0CC9,Aluminium aluminum acetate solution,not a valid entry
XM8CF0,Dequalinium (chloride),not a valid entry
XM6LZ1,Desonide,not a valid entry
XM0PQ7,Dettol (external medication),not a valid entry
XM9M45,Diamthazole,not a valid entry
XM1RR7,Dibromopropamidine isethionate,not a valid entry
XM0UE0,Dibrompropamidine,not a valid entry
XM06U7,Dicophane,not a valid entry
XM2355,Diethyltoluamide,not a valid entry
XM4A13,Dimazole,not a valid entry
XM42D3,Dixanthogen,not a valid entry
XM6JG7,Aluminium aluminum sulfate,not a valid entry
XM3JL3,Dodicin,not a valid entry
XM7YF5,Dofamium chloride,not a valid entry
XM3TY6,Domiphen (bromide),not a valid entry
XM0382,Dye antiseptic,not a valid entry
XM5XH3,Econazole,not a valid entry
XM8E88,Erythromycin topical,not a valid entry
XM5QE6,Ethacridine,not a valid entry
XM09B1,Ethylene oxide medicinal,not a valid entry
XM91H3,Eurax,not a valid entry
XM2258,Exalamide,not a valid entry
XM5QW4,Aminacrine,not a valid entry
XM9K22,Fenticlor,not a valid entry
XM29Q0,Florinef topical,not a valid entry
XM4HA4,Fluocinolone (acetonide),not a valid entry
XM2E99,Fluocinonide,not a valid entry
XM2FZ7,Fluonid,not a valid entry
XM67C1,Flurobate,not a valid entry
XM4CW1,Fungizone topical,not a valid entry
XM5AL0,Furacin,not a valid entry
XM6AZ9,Furazolium chloride,not a valid entry
XM5JA4,Gamma-benzene hexachloride (medicinal),not a valid entry
XM6RK6,Aminoacridine,not a valid entry
XM0BV3,Gamma-BHC (medicinal),not a valid entry
XM0XR4,Gentamicin topical,not a valid entry
XM8HX2,Gentian violet,not a valid entry
XM0P97,Gexane,not a valid entry
XM5WS2,Glutaral (medicinal),not a valid entry
XM18N0,Glutaraldehyde medicinal,not a valid entry
XM7XA4,Glyceryl triacetate (topical),not a valid entry
XM7Y78,Gramicidin,not a valid entry
XM5UQ0,Halcinolone,not a valid entry
XM9Q64,Halethazole,not a valid entry
XM8Z25,Ammoniated mercury,not a valid entry
XM0C80,Haloprogin,not a valid entry
XM8ZE3,Halotex,not a valid entry
XM3KW0,Halquinols,not a valid entry
XM6XH7,HCH medicinal,not a valid entry
XM8UW4,Hedaquinium,not a valid entry
XM95K6,Hexachlorophene,not a valid entry
XM7RK5,Hexamidine,not a valid entry
XM19W1,Hydrargaphen,not a valid entry
XM0JC1,Hydrargyri amino-chloridum,not a valid entry
XM4AG2,Hydrogen peroxide,not a valid entry
XM7CU1,Amphotericin B topical,not a valid entry
XM6E35,Hydroxytoluene medicinal,not a valid entry
XM02H1,Hypochlorite,not a valid entry
XM3PT9,Ichthammol,not a valid entry
XM4EQ9,Ilotycin topical,not a valid entry
XM6BF8,Isoconazole,not a valid entry
XM9795,Ketoconazole,not a valid entry
XM07S0,Kwell anti-infective (topical),not a valid entry
XM3U48,Laurolinium,not a valid entry
XM8C45,Lidex,not a valid entry
XM8E58,Lindane medicinal,not a valid entry
XM8GN4,Anti-infective bismuth local,not a valid entry
XM7CM3,Locorten,not a valid entry
XM60K5,Lysozyme,not a valid entry
XM5MZ8,Mafenide,not a valid entry
XM3CD3,Magnesium peroxide,not a valid entry
XM6QD7,Malathion (medicinal),not a valid entry
XM9S72,Maphenide,not a valid entry
XM6L15,Medrysone,not a valid entry
XM53R5,Melaleuca alternifolia oil,not a valid entry
XM35K3,Merbromin,not a valid entry
XM7FY5,Mercaptobenzothiazole salts,not a valid entry
XM59J1,Anti-infective local specified not elsewhere classified,not a valid entry
XM1B13,Mercurochrome,not a valid entry
XM2J64,Mercury mercurial mercuric mercurous ammoniated,not a valid entry
XM0H92,Mercury mercurial mercuric mercurous anti-infective local,not a valid entry
XM9Z76,Mercury mercurial mercuric mercurous anti-infective topical,not a valid entry
XM10V3,Mercury mercurial mercuric mercurous chloride (ammoniated),not a valid entry
XM6Q50,Mercury mercurial mercuric mercurous oxide yellow,not a valid entry
XM9613,Merthiolate,not a valid entry
XM2JH4,Mesulfen,not a valid entry
XM2M00,Metactesylacetate,not a valid entry
XM4QE9,Metaphen,not a valid entry
XM4VG4,Anti-infective local,not a valid entry
XM0XV0,Methyl paraben,not a valid entry
XM1910,Methyl prednisolone topical,not a valid entry
XM58J2,Methyl rosaniline,not a valid entry
XM5HR1,Methylbenzethonium chloride,not a valid entry
XM7C91,Methylrosaniline,not a valid entry
XM2793,Methylrosanilinium chloride,not a valid entry
XM0ZY9,Micatin,not a valid entry
XM9UH0,Miconazole,not a valid entry
XM9A06,Monistat,not a valid entry
XM5E15,Monosulfiram,not a valid entry
XM2H83,Anti-infective topical,not a valid entry
XM23B6,Mupirocin,not a valid entry
XM43U9,Mycifradin topical,not a valid entry
XM33W5,Mycostatin topical,not a valid entry
XM14D6,Myralact,not a valid entry
XM1HX1,Naftifine,not a valid entry
XM2BK7,Natamycin,not a valid entry
XM7D13,Neomycin topical,not a valid entry
XM51P6,Neomycin with bacitracin,not a valid entry
XM6YS1,Neosporin topical,not a valid entry
XM5BH2,Nilstat topical,not a valid entry
XM4AQ7,Anti-inflammatory drug local,not a valid entry
XM5L11,Nitrofural,not a valid entry
XM71W2,Nitrofurazone,not a valid entry
XM4T72,Nitromersol,not a valid entry
XM2HP9,Nitrozone,not a valid entry
XM1102,Noxytiolin,not a valid entry
XM7TA6,Nystatin topical,not a valid entry
XM70Z6,Orthoboric acid,not a valid entry
XM63S9,Oxiconazole,not a valid entry
XM8610,Oxychlorosene,not a valid entry
XM7N08,Oxylone,not a valid entry
XM7DN7,Antibiotic fungicidal (local),not a valid entry
XM9LG4,Parachlorophenol (camphorated),not a valid entry
XM12F4,Paramethasone acetate,not a valid entry
XM0MS1,Peruvian balsam,not a valid entry
XM70C4,Phenoctide,not a valid entry
XM6L76,Phenol,not a valid entry
XM4H85,Phenothrin,not a valid entry
XM9D74,Phenoxyethanol,not a valid entry
XM3R68,Phenylmercuric acetate,not a valid entry
XM89P9,Phenylmercuric borate,not a valid entry
XM0K18,Phenylmercuric nitrate,not a valid entry
XM7383,Antibiotic local,not a valid entry
XM3DV8,Piketoprofen,not a valid entry
XM7B69,Polymyxin B topical,not a valid entry
XM0J95,Polynoxylin,not a valid entry
XM2G74,Polyoxymethyleneurea,not a valid entry
XM0XP0,Potassium Permanganate medicinal,not a valid entry
XM6YA5,Proflavine,not a valid entry
XM35Q1,Propamidine,not a valid entry
XM4TA7,Propiolactone,not a valid entry
XM3DH9,Propion gel,not a valid entry
XM77H8,Propionate (calcium) (sodium),not a valid entry
XM1JC6,Antifungal disinfectant local,not a valid entry
XM03K3,Pyrethrum extract,not a valid entry
XM2A13,Pyrogallic acid,not a valid entry
XM8BE0,Pyrogallol,not a valid entry
XM97F8,Quarternary ammonium anti-infective,not a valid entry
XM2SR9,Retinoic acid,not a valid entry
XM9773,Salicylhydroxamic acid,not a valid entry
XM5GX7,Sodium hypochlorite medicinal (anti-infective) (external),not a valid entry
XM5372,Sodium hyposulfite,not a valid entry
XM7Z80,Sodium perborate medicinal,not a valid entry
XM7EV2,Sodium propionate,not a valid entry
XM80C1,Antifungal topical,not a valid entry
XM1VV3,Sporostacin,not a valid entry
XM38S1,Staphisagria or stavesacre (pediculicide),not a valid entry
XM8HC5,Steroid topical,not a valid entry
XM2237,Sulbentine,not a valid entry
XM2CH0,Sulfacetamide,not a valid entry
XM4D62,Sulfamylon,not a valid entry
XM06Y3,Sulfiram,not a valid entry
XM4XY4,Sulfur sulfurated sulfuric sulfurous sulfuryl ointment,not a valid entry
XM9ST9,Synalar,not a valid entry
XM33Y9,Terconazole,not a valid entry
XM7RZ1,Antiparasitic drug local,not a valid entry
XM9RA5,Tetracycline topical,not a valid entry
XM2GG6,Tetramethylthiuram medicinal,not a valid entry
XM9ZY9,Thimerosal,not a valid entry
XM7W47,Thymol,not a valid entry
XM3C36,Ticlatone,not a valid entry
XM9HG1,Tioconazole,not a valid entry
XM9SF6,Tolciclate,not a valid entry
XM23C3,Tolnaftate,not a valid entry
XM9DB5,Tretinoin,not a valid entry
XM6848,Triacetin,not a valid entry
XM12U4,Antiprotozoal drug local,not a valid entry
XM4J30,Triamcinolone,not a valid entry
XM4873,Triamcinolone hexacetonide,not a valid entry
XM4WS2,Triamcinolone topical,not a valid entry
XM5KU0,Triclobisonium chloride,not a valid entry
XM74T6,Triclocarban,not a valid entry
XM5WW5,Triclosan,not a valid entry
XM93J3,Tridesilon,not a valid entry
XM84C7,Undecenoic acid,not a valid entry
XM5GQ1,Undecoylium,not a valid entry
XM1TP6,Undecylenic acid (derivatives),not a valid entry
XM4MP7,Antiseptics (external) (medicinal),not a valid entry
XM81Z1,Urea peroxide,not a valid entry
XM2VU7,Valisone,not a valid entry
XM0GR5,Vioform topical,not a valid entry
XM29X8,Zephiran (topical),not a valid entry
XM2B18,Zinc anti-infectives,not a valid entry
XM9158,Zinc bacitracin,not a valid entry
XM6KL1,Zinc peroxide,not a valid entry
XM8SM1,Zinc sulfate topical,not a valid entry
XM5L28,Zinc undecylenate,not a valid entry
XM44R8,Argyrol,not a valid entry
XM7VP9,Asiaticoside,not a valid entry
XM0295,Aureomycin topical,not a valid entry
XM6SG3,Azelaic acid,not a valid entry
XM4PL5,Bacimycin,not a valid entry
XM00V5,Bacitracin zinc topical,not a valid entry
XM6Y48,Bacitracin zinc with neomycin,not a valid entry
XM7E88,Basic fuchsin,not a valid entry
XM2ZR2,Benisone,not a valid entry
XM2VS1,Benzalkonium (chloride),not a valid entry
XM1QH3,Benzethonium (chloride),not a valid entry
XM7SQ2,Benzoic acid with salicylic acid,not a valid entry
XM9JZ6,Benzoic acid,not a valid entry
XM63Y9,Benzoxonium chloride,not a valid entry
XM43M3,Benzoyl peroxide,not a valid entry
XM73Q0,Benzydamine,not a valid entry
XM7QG0,Benzyl benzoate,not a valid entry
XM0GX2,Benzyl Benzoic acid,not a valid entry
XM9208,BHC (medicinal),not a valid entry
XM7S48,Bismuth salts glycolylarsenate,not a valid entry
XM5RT8,Boracic acid,not a valid entry
XM84D8,Bromosalicylchloranitide,not a valid entry
XM0YT9,Buclosamide,not a valid entry
XM6862,Butoconazole (nitrate),not a valid entry
XM7VA5,Calomel,not a valid entry
XM2AV1,Candicidin,not a valid entry
XM2V43,Carbamide peroxide,not a valid entry
XM2ZX1,Carbol fuchsin,not a valid entry
XM6C04,Carfusin,not a valid entry
XM9H69,Castellani's paint,not a valid entry
XM5ZY9,Ceepryn,not a valid entry
XM5GE9,Celestone topical,not a valid entry
XM9432,Cetalkonium (chloride),not a valid entry
XM1BP8,Cethexonium chloride,not a valid entry
XM62D0,Cetrimide,not a valid entry
XM6ZW9,Cetrimonium (bromide),not a valid entry
XM94W4,Cetylpyridinium chloride,not a valid entry
XM7CX5,Chamomile,not a valid entry
XM8HU1,Chloramine T,not a valid entry
XM72P5,Chloramphenicol topical,not a valid entry
XM8ST7,Chlordantoin,not a valid entry
XM7DZ3,Chlorhexidine,not a valid entry
XM2ZT2,Chlorhydroxyquinolin,not a valid entry
XM5D99,Chlorinated lime and boric acid solution,not a valid entry
XM0HL8,Chlorinated soda solution,not a valid entry
XM8FE7,Chlorocresol,not a valid entry
XM7KK7,Chloromycetin topical,not a valid entry
XM3XC5,Chloroxylenol,not a valid entry
XM93C6,Chlorphenesin topical (antifungal),not a valid entry
XM56H5,Chlorquinaldol,not a valid entry
XM2CN0,Chlorquinol,not a valid entry
XM0852,Ciclopirox (olamine),not a valid entry
XM6MJ1,Clobetasone,not a valid entry
XM2WP5,Clodantoin,not a valid entry
XM8TG2,Clofenotane,not a valid entry
XM8W85,Clotrimazole,not a valid entry
XM6BT6,Cloxiquine,not a valid entry
XM4M83,Copper gluconate,not a valid entry
XM55D5,Copper oleate,not a valid entry
XM4583,Cordran,not a valid entry
XM4JG5,Cort-Dome topical,not a valid entry
XM42L5,Creosol (compound),not a valid entry
XM35M5,Creosote (coal tar) (beechwood),not a valid entry
XM7ZK1,Cresol (s),not a valid entry
XM0WM0,Cresol and soap solution,not a valid entry
XM4YB3,Cresyl acetate,not a valid entry
XM0348,Cresylic acid,not a valid entry
XM3726,Crotamiton,not a valid entry
XM9KS4,Crystal violet,not a valid entry
XM90M4,Cupric gluconate,not a valid entry
XM29W9,Cupric oleate,not a valid entry
XM7YY8,Dakin's solution,not a valid entry
XM4KV4,Acetic acid medicinal (lotion),not a valid entry
XM3P38,Aluminium aluminum acetate,not a valid entry
XM7FE1,Aluminium aluminum chloride,not a valid entry
XM2D21,Aluminium aluminum diacetate,not a valid entry
XM2399,Aluminium aluminum subacetate,not a valid entry
XM38V9,Antihemorrhoidal preparation,not a valid entry
XM0VK6,Astringent (local),not a valid entry
XM4F66,Astringent specified,not a valid entry
XM1KT1,Detergent external medication,not a valid entry
XM0XB1,Detergent local,not a valid entry
XM0LM1,Detergent medicinal,not a valid entry
XM16X4,Dial (soap),not a valid entry
XM2KD7,Duponol (C) (EP),not a valid entry
XM3Y82,Green soap,not a valid entry
XM2273,Lauryl sulfoacetate,not a valid entry
XM8P35,Lead acetate,not a valid entry
XM3E94,Polyethanolamine alkyl sulfate,not a valid entry
XM2P20,Soap medicinal soft,not a valid entry
XM6EW6,Soap superfatted,not a valid entry
XM1X23,Sodium lauryl (sulfate),not a valid entry
XM1484,Tannic acid medicinal (astringent),not a valid entry
XM2TQ1,Tannic acid,not a valid entry
XM7KD1,Thiram medicinal,not a valid entry
XM19Y0,Vegetable extract astringent,not a valid entry
XM4S15,Witch hazel,not a valid entry
XM4KJ0,Antiperspirant,not a valid entry
XM2MM0,Detergent,not a valid entry
XM20Y8,Hamamelis,not a valid entry
XM30A6,Hexa-germ,not a valid entry
XM1DT0,Iproheptine,not a valid entry
XM9RY1,Lowila,not a valid entry
XM2J24,pHisoHex,not a valid entry
XM1AY0,Septisol,not a valid entry
XM3DK8,Sulfatostearate,not a valid entry
XM9R98,Benoquin,not a valid entry
XM4597,Cantharides cantharidin cantharis,not a valid entry
XM1039,Carbamide topical,not a valid entry
XM8JB2,Cell stimulants and proliferants,not a valid entry
XM4JD6,Charcoal medicinal topical,not a valid entry
XM6GG8,Chloresium,not a valid entry
XM5B46,Cosmetic preparation,not a valid entry
XM9DQ1,Cosmetics,not a valid entry
XM8QX1,Demelanizing agents,not a valid entry
XM5NR4,Deodorant spray (feminine hygiene),not a valid entry
XM9YX8,Dextromoramide topical,not a valid entry
